size;time
100;7332
200;27714
300;56410
400;95399
500;137686
600;184322
700;249391
800;319968
900;404197
1000;508570
1100;609264
1200;720433
1300;849758
1400;982082
1500;1129177
1600;1283924
1700;1450800
1800;1660399
1900;1842829
2000;2067463
2100;2296294
2200;2530743
2300;2709010
2400;2923332
2500;3204685
2600;3491269
2700;3715407
2800;4038525
2900;4298715
3000;4692797
3100;5004807
3200;5340899
3300;5562455
3400;5992399
3500;6266600
3600;6603011
3700;6908200
3800;7355024
3900;7774510
4000;8105696
4100;8635215